"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","scientificname","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","decimallatitude","decimallongitude","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris","base"
"1","URN:CornellLabOfOrnithology:EBIRD:OBS710784503","2019-02-15 14:34:03",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2003-09-10","09:00:00","obsr601274","S52729375","Historical","P62","EBIRD",NA,NA,NA,3,1,"",0,1,0,"","Mirante dos Golfinhos e trilha atÃ© o Sancho","",134,10,1,"eBird"
"2","URN:CornellLabOfOrnithology:EBIRD:OBS858828212","2020-02-01 15:44:38",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2011-02-15","06:45:00","obsr511116","S64015289","Stationary","P21","EBIRD",120,NA,NA,1,1,"",0,1,0,"","","",762,3,1,"eBird"
"3","URN:CornellLabOfOrnithology:EBIRD:OBS858832110","2020-02-01 15:51:42",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2011-02-16","08:29:00","obsr511116","S64015628","Stationary","P21","EBIRD",180,NA,NA,1,1,"",0,1,0,"","","",760,8,1,"eBird"
"4","URN:CornellLabOfOrnithology:EBIRD:OBS858807042","2020-02-01 15:04:31",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2011-03-14","07:50:00","obsr511116","S64013194","Stationary","P21","EBIRD",45,NA,NA,1,1,"",0,1,0,"","","",779,6,1,"eBird"
"5","URN:CornellLabOfOrnithology:EBIRD:OBS519839063","2020-05-21 12:14:45",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-RN-Fernando de Noronha (-3.8517,-32.4399)","L6104104","P",-3.851706,-32.439886,"2017-07-19","14:00:00","obsr848039","S38224042","Traveling","P22","EBIRD",120,1.931,NA,1,1,"",0,1,1,"","","",1742,9,1,"eBird"
"6","URN:CornellLabOfOrnithology:EBIRD:OBS1049525734","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia da Atalaia","L8061900","H",-3.8558812,-32.4070483,"2017-09-30","08:15:00","obsr628528","S79084547","Traveling","P22","EBIRD_BRA",120,1.5,NA,2,1,"",1,1,0,"","","",1792,13,1,"eBird"
"7","URN:CornellLabOfOrnithology:EBIRD:OBS540218054","2018-07-05 16:13:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","P ","C3","P ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante do Sancho- (-3.854, -32.442)","L6340132","P",-3.8543525,-32.4422993,"2017-10-09","08:32:00","obsr537362","S39825860","Traveling","P22","EBIRD_BRA",147,6.41,NA,3,1,"",0,1,0,"","Com meu pai Ã© o guia JoÃ£o Paulo","",1810,5,1,"eBird"
"8","URN:CornellLabOfOrnithology:EBIRD:OBS871171522","2020-02-27 14:07:58",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante","L10605804","P",-3.8521,-32.4421,"2018-03-24","","obsr674492","S65183114","Historical","P62","EBIRD",NA,NA,NA,NA,0,"",1,1,0,"","","",1993,2,1,"eBird"
"9","URN:CornellLabOfOrnithology:EBIRD:OBS616366332","2018-07-05 16:13:23",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","H ","C2","H ","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Trilha Capim-AÃ§u, Pernambuco, BR (-3,879, -32,459)","L7394827","P",-3.8787269,-32.459239,"2018-05-12","15:07:00","obsr945091","S45592829","Traveling","P22","EBIRD",70,8.884,NA,4,1,"",0,1,0,"","","11",2015,7,1,"eBird"
"10","URN:CornellLabOfOrnithology:EBIRD:OBS622648361","2018-07-05 16:13:23",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","33","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-RN-Fernando de Noronha (-3,8797,-32,4581)","L7455340","P",-3.879655,-32.458073,"2018-05-12","14:54:00","obsr640234","S45959269","Traveling","P22","EBIRD",60,2,NA,1,1,"",0,1,0,"","","",2016,12,1,"eBird"
"11","URN:CornellLabOfOrnithology:EBIRD:OBS653116444","2018-09-06 22:39:08",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"PN Fernando de Noronha--Trilha do Farol","L7881192","H",-3.8744716,-32.4617604,"2018-09-01","08:22:00","obsr438109","S48210943","Traveling","P22","EBIRD",130,1,NA,4,1,"",0,1,0,"","","",2222,8,1,"eBird"
"12","URN:CornellLabOfOrnithology:EBIRD:OBS666196995","2018-10-23 23:14:30",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","8","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha Costa Esmeralda","L8026406","H",-3.8476728,-32.433041,"2018-10-13","09:34:00","obsr501068","S49156913","Traveling","P22","EBIRD_BRA",9,0.52,NA,1,1,"",0,1,0,"","1 Salvator merianae","",2472,3,1,"eBird"
"13","URN:CornellLabOfOrnithology:EBIRD:OBS665999108","2018-10-28 18:25:30",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","27","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-12","07:21:00","obsr501068","S49142445","Traveling","P22","EBIRD_BRA",15,1.02,NA,1,1,"",1,1,0,"","","",2369,7,1,"eBird"
"14","URN:CornellLabOfOrnithology:EBIRD:OBS664881927","2018-10-23 23:15:32",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-08","14:00:00","obsr501068","S49056842","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",2407,7,1,"eBird"
"15","URN:CornellLabOfOrnithology:EBIRD:OBS665749318","2018-10-28 18:23:12",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","25","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-11","06:45:00","obsr501068","S49123723","Traveling","P22","EBIRD_BRA",19,1.09,NA,1,1,"",1,1,0,"","","",2437,7,1,"eBird"
"16","URN:CornellLabOfOrnithology:EBIRD:OBS665749611","2018-10-28 18:23:48",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","7","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-11","08:10:00","obsr501068","S49123768","Traveling","P22","EBIRD_BRA",9,0.08,NA,1,1,"",1,1,0,"","","",2544,2,1,"eBird"
"17","URN:CornellLabOfOrnithology:EBIRD:OBS665712669","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-11","06:25:00","obsr501068","S49120760","Traveling","P22","EBIRD_BRA",2,0.24,NA,1,1,"",0,1,0,"","","",2490,3,1,"eBird"
"18","URN:CornellLabOfOrnithology:EBIRD:OBS671429904","2018-10-29 11:20:04",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-19","14:32:00","obsr757924","S49538971","Stationary","P21","EBIRD_BRA",42,NA,NA,14,1,"G3549634",0,1,0,"","","",2354,8,1,"eBird"
"19","URN:CornellLabOfOrnithology:EBIRD:OBS668539351","2018-10-29 11:20:00",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-20","14:37:00","obsr501068","S49320996","Stationary","P21","EBIRD_BRA",43,NA,NA,15,1,"G3549631",0,1,0,"","","",2359,6,1,"eBird"
"20","URN:CornellLabOfOrnithology:EBIRD:OBS665104311","2018-10-24 00:04:50",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","19","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-09","06:49:00","obsr501068","S49072936","Traveling","P22","EBIRD_BRA",13,1.05,NA,1,1,"",1,1,0,"","","",2465,7,1,"eBird"
"21","URN:CornellLabOfOrnithology:EBIRD:OBS668237656","2018-10-23 23:14:09",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","18","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha do Capim-AÃ§u","L8046672","H",-3.8560535,-32.4395196,"2018-10-19","12:43:00","obsr501068","S49300019","Traveling","P22","EBIRD_BRA",38,1.51,NA,2,1,"",0,1,0,"","Com o guia Paulo","",2498,6,1,"eBird"
"22","URN:CornellLabOfOrnithology:EBIRD:OBS665438116","2018-10-29 11:20:58",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","13","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-10","09:47:00","obsr501068","S49098544","Traveling","P22","EBIRD_BRA",33,1.34,NA,2,1,"G3549641",0,1,0,"","","",2350,9,1,"eBird"
"23","URN:CornellLabOfOrnithology:EBIRD:OBS665999246","2018-10-24 00:23:12",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-12","07:37:00","obsr501068","S49142456","Stationary","P21","EBIRD_BRA",25,NA,NA,1,1,"",0,1,0,"","Tartaruga-de-pente","",2351,9,1,"eBird"
"24","URN:CornellLabOfOrnithology:EBIRD:OBS671429882","2018-10-29 11:20:00",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-20","14:37:00","obsr757924","S49538966","Stationary","P21","EBIRD_BRA",43,NA,NA,15,1,"G3549631",0,1,0,"","","",2358,6,1,"eBird"
"25","URN:CornellLabOfOrnithology:EBIRD:OBS663997547","2018-10-28 18:03:44",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","10","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-06","14:00:00","obsr501068","S48997394","Traveling","P22","EBIRD_BRA",18,1.33,NA,1,1,"",0,1,0,"","","",2458,5,1,"eBird"
"26","URN:CornellLabOfOrnithology:EBIRD:OBS668237879","2018-10-29 11:20:03",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-19","14:32:00","obsr501068","S49300044","Stationary","P21","EBIRD_BRA",42,NA,NA,14,1,"G3549634",0,1,0,"","","",2361,8,1,"eBird"
"27","URN:CornellLabOfOrnithology:EBIRD:OBS664657327","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-08","06:31:00","obsr501068","S49039263","Traveling","P22","EBIRD_BRA",2,0.26,NA,1,1,"",0,1,0,"","","",2460,4,1,"eBird"
"28","URN:CornellLabOfOrnithology:EBIRD:OBS669537631","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-23","07:04:00","obsr501068","S49392477","Traveling","P22","EBIRD_BRA",2,0.22,NA,1,1,"",0,1,0,"","","",2500,3,1,"eBird"
"29","URN:CornellLabOfOrnithology:EBIRD:OBS669538040","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante do BoldrÃ³","L7993258","H",-3.8461678,-32.4290434,"2018-10-23","07:46:00","obsr501068","S49392510","Stationary","P21","EBIRD_BRA",3,NA,NA,1,1,"",0,1,0,"","","",2357,7,1,"eBird"
"30","URN:CornellLabOfOrnithology:EBIRD:OBS666000920","2018-10-24 20:48:22",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","13","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-12","10:12:00","obsr501068","S49142576","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",2516,3,1,"eBird"
"31","URN:CornellLabOfOrnithology:EBIRD:OBS665945889","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--PIC Golfinho-Sancho","L8023695","H",-3.8556479,-32.4395069,"2018-10-12","06:28:00","obsr501068","S49138743","Stationary","P21","EBIRD_BRA",11,NA,NA,1,1,"",0,1,0,"","","",2511,5,1,"eBird"
"32","URN:CornellLabOfOrnithology:EBIRD:OBS666362711","2018-10-23 23:14:57",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do LeÃ£o","L7997367","H",-3.8699019,-32.4336885,"2018-10-13","16:44:00","obsr501068","S49168286","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",2335,5,1,"eBird"
"33","URN:CornellLabOfOrnithology:EBIRD:OBS671048321","2018-11-08 15:41:47",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-24","09:15:00","obsr241514","S49513002","Stationary","P21","EBIRD",165,NA,NA,1,1,"",0,1,0,"","","",2386,12,1,"eBird"
"34","URN:CornellLabOfOrnithology:EBIRD:OBS665998571","2018-10-24 20:48:22",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","13","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-12","06:51:00","obsr501068","S49142405","Traveling","P22","EBIRD_BRA",14,0.57,NA,1,1,"",0,1,0,"","","",2371,7,1,"eBird"
"35","URN:CornellLabOfOrnithology:EBIRD:OBS671233262","2018-10-28 18:20:39",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Ponta das Caracas","L7998807","H",-3.8751042,-32.4252767,"2018-10-09","07:52:00","obsr501068","S49525669","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",1,1,0,"","","",2552,1,1,"eBird"
"36","URN:CornellLabOfOrnithology:EBIRD:OBS666195921","2019-01-11 07:20:37",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha Costa Esmeralda","L8026406","H",-3.8476728,-32.433041,"2018-10-13","09:17:00","obsr501068","S49156822","Traveling","P22","EBIRD_BRA",7,0.12,NA,1,1,"",0,1,0,"","","",2388,4,1,"eBird"
"37","URN:CornellLabOfOrnithology:EBIRD:OBS671053731","2019-12-26 20:12:05",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do LeÃ£o","L7997367","H",-3.8699019,-32.4336885,"2018-10-22","17:00:00","obsr241514","S49513345","Traveling","P22","EBIRD",70,2,NA,1,1,"",0,1,0,"","","",2345,12,1,"eBird"
"38","URN:CornellLabOfOrnithology:EBIRD:OBS666197289","2018-10-23 23:15:53",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante do BoldrÃ³","L7993258","H",-3.8461678,-32.4290434,"2018-10-13","10:13:00","obsr501068","S49156932","Stationary","P21","EBIRD_BRA",5,NA,NA,1,1,"",0,1,0,"","","",2370,5,1,"eBird"
"39","URN:CornellLabOfOrnithology:EBIRD:OBS665652750","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","5","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-11","08:49:00","obsr501068","S49115567","Traveling","P22","EBIRD_BRA",2,0.19,NA,1,1,"",0,1,0,"","","",2525,4,1,"eBird"
"40","URN:CornellLabOfOrnithology:EBIRD:OBS664657553","2018-10-28 18:16:43",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-08","06:52:00","obsr501068","S49039280","Traveling","P22","EBIRD_BRA",13,1.08,NA,1,1,"",1,1,0,"","","",2398,6,1,"eBird"
"41","URN:CornellLabOfOrnithology:EBIRD:OBS666015490","2018-10-23 23:15:20",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia da Cacimba do Padre","L8024407","H",-3.8506873,-32.4387929,"2018-10-12","12:48:00","obsr501068","S49143582","Traveling","P22","EBIRD_BRA",7,0.25,NA,1,1,"",0,1,0,"","","",2374,7,1,"eBird"
"42","URN:CornellLabOfOrnithology:EBIRD:OBS668237703","2018-10-29 11:20:05",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","9","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-19","14:05:00","obsr501068","S49300029","Traveling","P22","EBIRD_BRA",26,0.92,NA,14,1,"G3549635",0,1,0,"","","",2486,3,1,"eBird"
"43","URN:CornellLabOfOrnithology:EBIRD:OBS665105320","2018-10-09 09:35:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Trilha para o SantuÃ¡rio dos rabos-de-junco","L8013524","P",-3.8739815,-32.4234442,"2018-10-09","10:02:00","obsr501068","S49073019","Traveling","P22","EBIRD_BRA",6,0.55,NA,2,1,"",0,1,0,"","","",2546,2,1,"eBird"
"44","URN:CornellLabOfOrnithology:EBIRD:OBS665999030","2018-10-24 08:01:13",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante dos Dois IrmÃ£os","L8024238","H",-3.8521372,-32.4420884,"2018-10-12","07:06:00","obsr501068","S49142438","Stationary","P21","EBIRD_BRA",10,NA,NA,1,1,"",0,1,0,"","","",2376,6,1,"eBird"
"45","URN:CornellLabOfOrnithology:EBIRD:OBS665749500","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","14","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-11","08:25:00","obsr501068","S49123741","Traveling","P22","EBIRD_BRA",13,0.97,NA,1,1,"",0,1,0,"","1 Tupinambis merianae","",2403,7,1,"eBird"
"46","URN:CornellLabOfOrnithology:EBIRD:OBS663873708","2018-10-23 23:13:17",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o SÃ­tio do LeÃ£o","L7997349","H",-3.8676577,-32.4288232,"2018-10-06","15:29:00","obsr501068","S48989129","Traveling","P22","EBIRD_BRA",9,0.32,NA,1,1,"",0,1,0,"","SÃ­tio do LeÃ£o","",2468,5,1,"eBird"
"47","URN:CornellLabOfOrnithology:EBIRD:OBS669537811","2018-10-23 23:15:32",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-23","07:07:00","obsr501068","S49392488","Stationary","P21","EBIRD_BRA",5,NA,NA,1,1,"",0,1,0,"","","",2484,4,1,"eBird"
