"","GLOBAL.UNIQUE.IDENTIFIER","LAST.EDITED.DATE","TAXONOMIC.ORDER","CATEGORY","TAXON.CONCEPT.ID","COMMON.NAME","scientificname","SUBSPECIES.COMMON.NAME","SUBSPECIES.SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","BREEDING.CODE","BREEDING.CATEGORY","BEHAVIOR.CODE","AGE.SEX","COUNTRY","COUNTRY.CODE","STATE","STATE.CODE","COUNTY","COUNTY.CODE","IBA.CODE","BCR.CODE","USFWS.CODE","ATLAS.BLOCK","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","decimallatitude","decimallongitude","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","OBSERVER.ID","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","PROJECT.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","HAS.MEDIA","APPROVED","REVIEWED","REASON","TRIP.COMMENTS","SPECIES.COMMENTS","ID","NSPECIES","Vireo_gracilirostris","base"
"48","URN:CornellLabOfOrnithology:EBIRD:OBS666196858","2018-10-23 23:15:09",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Bode","L8026404","H",-3.8478794,-32.4337687,"2018-10-13","09:24:00","obsr501068","S49156898","Traveling","P22","EBIRD_BRA",9,0.17,NA,1,1,"",0,1,0,"","","",2373,6,1,"eBird"
"49","URN:CornellLabOfOrnithology:EBIRD:OBS668796852","2018-10-23 23:15:32",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-21","07:56:00","obsr501068","S49338427","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",2447,5,1,"eBird"
"50","URN:CornellLabOfOrnithology:EBIRD:OBS667249998","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-16","06:28:00","obsr501068","S49227740","Traveling","P22","EBIRD_BRA",11,1.02,NA,3,1,"",0,1,0,"","","",2456,4,1,"eBird"
"51","URN:CornellLabOfOrnithology:EBIRD:OBS668743464","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante do BoldrÃ³","L7993258","H",-3.8461678,-32.4290434,"2018-10-21","05:37:00","obsr501068","S49334081","Stationary","P21","EBIRD_BRA",10,NA,NA,1,1,"",0,1,0,"","","",2344,10,1,"eBird"
"52","URN:CornellLabOfOrnithology:EBIRD:OBS664514235","2018-10-23 23:15:53",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante do BoldrÃ³","L7993258","H",-3.8461678,-32.4290434,"2018-10-07","16:57:00","obsr501068","S49030063","Stationary","P21","EBIRD_BRA",11,NA,NA,1,1,"",0,1,0,"","","",2397,7,1,"eBird"
"53","URN:CornellLabOfOrnithology:EBIRD:OBS664662134","2018-10-23 23:14:01",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","8","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha Forte SÃ£o Joaquim do Sueste","L8005654","H",-3.8708901,-32.4268731,"2018-10-08","07:52:00","obsr501068","S49039588","Traveling","P22","EBIRD_BRA",20,0.48,NA,1,1,"",0,1,0,"","","",2383,7,1,"eBird"
"54","URN:CornellLabOfOrnithology:EBIRD:OBS665435527","2018-10-24 20:48:22",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","26","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-10","12:40:00","obsr501068","S49098393","Traveling","P22","EBIRD_BRA",26,1.95,NA,1,1,"",0,1,0,"","","",2372,6,1,"eBird"
"55","URN:CornellLabOfOrnithology:EBIRD:OBS665652504","2018-10-24 19:54:57",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-11","08:53:00","obsr501068","S49115557","Traveling","P22","EBIRD_BRA",28,0.61,NA,1,1,"",0,1,0,"","","",2342,10,1,"eBird"
"56","URN:CornellLabOfOrnithology:EBIRD:OBS666362400","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-13","15:22:00","obsr501068","S49168268","Traveling","P22","EBIRD_BRA",8,0.74,NA,1,1,"",0,1,0,"","","",2482,2,1,"eBird"
"57","URN:CornellLabOfOrnithology:EBIRD:OBS668463095","2018-10-23 23:15:32",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-20","08:00:00","obsr501068","S49315922","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",2401,6,1,"eBird"
"58","URN:CornellLabOfOrnithology:EBIRD:OBS671429909","2018-10-29 11:20:05",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","9","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-19","14:05:00","obsr757924","S49538972","Traveling","P22","EBIRD_BRA",26,0.92,NA,14,1,"G3549635",0,1,0,"","","",2522,3,1,"eBird"
"59","URN:CornellLabOfOrnithology:EBIRD:OBS671429876","2018-10-29 11:19:59",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-20","14:09:00","obsr757924","S49538965","Traveling","P22","EBIRD_BRA",28,0.92,NA,15,1,"G3549630",0,1,0,"","","",2496,4,1,"eBird"
"60","URN:CornellLabOfOrnithology:EBIRD:OBS671430151","2018-10-29 11:20:59",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-10","07:23:00","obsr757924","S49538992","Stationary","P21","EBIRD_BRA",144,NA,NA,20,1,"G3549642",1,1,0,"","","",2364,11,1,"eBird"
"61","URN:CornellLabOfOrnithology:EBIRD:OBS668539481","2018-10-29 11:19:59",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-20","14:09:00","obsr501068","S49321004","Traveling","P22","EBIRD_BRA",28,0.92,NA,15,1,"G3549630",0,1,0,"","","",2504,4,1,"eBird"
"62","URN:CornellLabOfOrnithology:EBIRD:OBS667260549","2018-10-24 00:31:01",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-16","09:06:00","obsr501068","S49228621","Traveling","P22","EBIRD_BRA",26,0.64,NA,2,1,"",0,1,0,"","","",2400,5,1,"eBird"
"63","URN:CornellLabOfOrnithology:EBIRD:OBS666015092","2018-10-24 20:48:22",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","7","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-12","12:01:00","obsr501068","S49143555","Traveling","P22","EBIRD_BRA",5,0.23,NA,1,1,"",0,1,0,"","","",2548,2,1,"eBird"
"64","URN:CornellLabOfOrnithology:EBIRD:OBS668237004","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--PIC Golfinho-Sancho","L8023695","H",-3.8556479,-32.4395069,"2018-10-19","11:28:00","obsr501068","S49299966","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",2506,5,1,"eBird"
"65","URN:CornellLabOfOrnithology:EBIRD:OBS671430143","2018-10-29 11:20:58",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","13","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-10","09:47:00","obsr757924","S49538991","Traveling","P22","EBIRD_BRA",33,1.34,NA,2,1,"G3549641",0,1,0,"","","",2365,9,1,"eBird"
"66","URN:CornellLabOfOrnithology:EBIRD:OBS665439968","2018-10-29 11:20:54",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","20","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-10","07:03:00","obsr501068","S49098685","Traveling","P22","EBIRD_BRA",21,0.94,NA,15,1,"G3549639",0,1,0,"","","",2355,6,1,"eBird"
"67","URN:CornellLabOfOrnithology:EBIRD:OBS665437677","2018-10-29 11:20:59",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-10","07:23:00","obsr501068","S49098519","Stationary","P21","EBIRD_BRA",144,NA,NA,20,1,"G3549642",1,1,0,"","Stenella longirostris, Kerodon rupestris, Trachylepis atlantica","",2360,11,1,"eBird"
"68","URN:CornellLabOfOrnithology:EBIRD:OBS668059030","2018-10-19 06:09:10",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Trilha Capim AÃ§u","L8044895","P",-3.8566233,-32.439754,"2018-10-19","07:28:00","obsr1101213","S49286451","Traveling","P22","EBIRD",37,1.08,NA,1,1,"",0,1,0,"","","",2550,3,1,"eBird"
"69","URN:CornellLabOfOrnithology:EBIRD:OBS665436508","2019-01-15 15:34:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sancho","L8017347","H",-3.8550319,-32.443397,"2018-10-10","10:54:00","obsr501068","S49098454","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",0,1,0,"","","",2367,6,1,"eBird"
"70","URN:CornellLabOfOrnithology:EBIRD:OBS665104243","2018-10-23 23:16:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Estrada para a Ponta das Caracas","L7998843","H",-3.8660665,-32.4269471,"2018-10-09","06:27:00","obsr501068","S49072931","Traveling","P22","EBIRD_BRA",3,0.2,NA,1,1,"",0,1,0,"","","",2527,3,1,"eBird"
"71","URN:CornellLabOfOrnithology:EBIRD:OBS663574592","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante do BoldrÃ³","L7993258","H",-3.8461678,-32.4290434,"2018-10-06","04:41:00","obsr501068","S48968974","Stationary","P21","EBIRD_BRA",11,NA,NA,1,1,"",0,1,0,"","","",2336,9,1,"eBird"
"72","URN:CornellLabOfOrnithology:EBIRD:OBS671430125","2018-10-29 11:20:54",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","20","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2018-10-10","07:03:00","obsr757924","S49538988","Traveling","P22","EBIRD_BRA",21,0.94,NA,15,1,"G3549639",0,1,0,"","","",2368,6,1,"eBird"
"73","URN:CornellLabOfOrnithology:EBIRD:OBS669788438","2018-10-24 07:59:19",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Mirante dos Golfinhos","L8017350","H",-3.8584299,-32.4466972,"2018-10-12","10:55:00","obsr501068","S49143547","Incidental","P20","EBIRD_BRA",NA,NA,NA,1,0,"",1,1,0,"","","",2428,3,1,"eBird"
"74","URN:CornellLabOfOrnithology:EBIRD:OBS664662272","2018-10-23 23:15:32",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2018-10-08","08:26:00","obsr501068","S49039595","Stationary","P21","EBIRD_BRA",5,NA,NA,1,1,"",0,1,0,"","","",2391,5,1,"eBird"
"75","URN:CornellLabOfOrnithology:EBIRD:OBS1023338685","2020-12-05 11:02:57.888816",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sancho","L8017347","H",-3.8550319,-32.443397,"2018-12-12","09:00:00","obsr1348592","S77088730","Traveling","P22","EBIRD",480,4,NA,1,0,"",0,1,0,"","Caminhada por vÃ¡rias praias no entorno, do mirante dos golfinhos atÃ© a fortaleza","",2728,12,1,"eBird"
"76","URN:CornellLabOfOrnithology:EBIRD:OBS1023331090","2022-03-10 20:14:04.875326",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Meio","L8031030","H",-3.8397831,-32.4146466,"2018-12-15","06:00:00","obsr1348592","S77087439","Traveling","P22","EBIRD",90,2,NA,1,0,"",1,1,0,"","","",2744,7,1,"eBird"
"77","URN:CornellLabOfOrnithology:EBIRD:OBS712519844","2019-02-18 11:23:39",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","17","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante dos Golfinhos","L8603816","P",-3.8581531,-32.4467844,"2019-01-30","08:00:00","obsr757924","S52876847","Historical","P62","EBIRD",180,NA,NA,3,1,"G3871270",0,1,0,"","","",2917,10,1,"eBird"
"78","URN:CornellLabOfOrnithology:EBIRD:OBS709953073","2019-02-18 11:23:39",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","17","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante dos Golfinhos","L8603816","P",-3.8581531,-32.4467844,"2019-01-30","08:00:00","obsr1219269","S52658475","Historical","P62","EBIRD",180,NA,NA,3,1,"G3871270",0,1,0,"","","",2915,10,1,"eBird"
"79","URN:CornellLabOfOrnithology:EBIRD:OBS710493541","2019-02-14 19:21:21",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Mirante dos Golfinhos","L8611049","P",-3.8580995,-32.4468097,"2019-01-31","08:47:00","obsr1219269","S52704200","Historical","P62","EBIRD",180,NA,NA,3,1,"",0,1,0,"","","",2914,10,1,"eBird"
"80","URN:CornellLabOfOrnithology:EBIRD:OBS716692913","2019-02-28 18:12:14",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sancho","L8017347","H",-3.8550319,-32.443397,"2019-02-22","16:00:00","obsr444534","S53232011","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",1,1,0,"","","",3063,4,1,"eBird"
"81","URN:CornellLabOfOrnithology:EBIRD:OBS712525188","2019-02-20 15:27:24",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","24","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha Capim-aÃ§u","L8647382","H",-3.870618,-32.456573,"2019-02-16","08:00:00","obsr757924","S52877393","Traveling","P22","EBIRD",300,5,NA,3,1,"",0,1,0,"","","",3052,10,1,"eBird"
"82","URN:CornellLabOfOrnithology:EBIRD:OBS716722741","2019-02-28 19:56:00",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sueste","L7998967","H",-3.8664129,-32.4262625,"2019-02-25","17:00:00","obsr444534","S53234419","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,"","","",3039,7,1,"eBird"
"83","URN:CornellLabOfOrnithology:EBIRD:OBS716699982","2019-02-28 18:34:18",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sancho","L8017347","H",-3.8550319,-32.443397,"2019-02-23","13:00:00","obsr444534","S53232586","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",1,1,0,"","","",3053,7,1,"eBird"
"84","URN:CornellLabOfOrnithology:EBIRD:OBS716680480","2019-02-28 17:39:44",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","X","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia da Cacimba do Padre","L8024407","H",-3.8506873,-32.4387929,"2019-02-22","12:00:00","obsr444534","S53231012","Incidental","P20","EBIRD",NA,NA,NA,2,0,"",0,1,0,"","","",3058,7,1,"eBird"
"85","URN:CornellLabOfOrnithology:EBIRD:OBS782636701","2019-07-06 19:32:58",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","3","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"(-3,8462,-32,4311)","L9599054","P",-3.846197,-32.431091,"2019-04-04","12:39:00","obsr640234","S57982660","Traveling","P22","EBIRD",30,1,NA,1,1,"",0,1,0,"","","",3100,10,1,"eBird"
"86","URN:CornellLabOfOrnithology:EBIRD:OBS732818421","2019-04-02 17:09:58",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Atalaia longa (-3,8494,-32,4040)","L8962736","P",-3.849362,-32.403991,"2019-04-02","08:06:00","obsr640234","S54493453","Traveling","P22","EBIRD",120,3,NA,2,1,"",0,1,0,"","","",3099,15,1,"eBird"
"87","URN:CornellLabOfOrnithology:EBIRD:OBS1042712490","2021-01-02 20:32:03.006723",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--PIC Golfinho-Sancho","L8023695","H",-3.8556479,-32.4395069,"2019-06-07","15:55:00","obsr894198","S78537934","Stationary","P21","EBIRD",15,NA,NA,2,0,"",1,1,0,"","","",3172,2,1,"eBird"
"88","URN:CornellLabOfOrnithology:EBIRD:OBS785365926","2021-01-02 18:39:39.802964",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Ponta das Caracas","L7998807","H",-3.8751042,-32.4252767,"2019-06-09","07:48:00","obsr894198","S58198689","Traveling","P22","EBIRD",70,1,NA,2,1,"G4362314",1,1,0,"","","",3144,9,1,"eBird"
"89","URN:CornellLabOfOrnithology:EBIRD:OBS785506632","2019-07-16 16:00:20",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Ponta das Caracas","L7998807","H",-3.8751042,-32.4252767,"2019-06-09","07:48:00","obsr622841","S58210188","Traveling","P22","EBIRD",70,1,NA,2,0,"G4362314",1,1,0,"","","",3143,8,1,"eBird"
"90","URN:CornellLabOfOrnithology:EBIRD:OBS1066470803","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2019-06-08","06:50:00","obsr894198","S80474240","Stationary","P21","EBIRD",122,NA,NA,2,1,"G6268985",1,1,0,"","","",3155,6,1,"eBird"
"91","URN:CornellLabOfOrnithology:EBIRD:OBS1069553513","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","1","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha para o Mirante dos Golfinhos, Praia do Sancho e Mirante Dois IrmÃ£os","L8017336","H",-3.8541464,-32.4423055,"2019-06-08","06:50:00","obsr622841","S80742856","Stationary","P21","EBIRD",122,NA,NA,2,1,"G6268985",1,1,0,"","","",3154,6,1,"eBird"
"92","URN:CornellLabOfOrnithology:EBIRD:OBS809011178","2021-09-07 21:06:51.461936",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","2","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Sueste and Leao","L9950906","P",-3.8666261,-32.4271014,"2019-09-14","14:00:00","obsr815754","S60066744","Traveling","P22","EBIRD",120,3,NA,1,1,"",1,1,0,"","","",3240,15,1,"eBird"
"93","URN:CornellLabOfOrnithology:EBIRD:OBS809004171","2021-03-25 04:52:06.254761",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","10","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Golfino and Sancho","L9950875","P",-3.8554312,-32.4399975,"2019-09-14","10:00:00","obsr815754","S60066131","Traveling","P22","EBIRD",120,3,NA,1,1,"",0,1,0,"","","",3236,8,1,"eBird"
"94","URN:CornellLabOfOrnithology:EBIRD:OBS830177334","2019-11-21 08:39:20",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","4","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Trilha Capim-aÃ§u","L8647382","H",-3.870618,-32.456573,"2019-11-21","08:42:00","obsr1487338","S61622882","Traveling","P22","EBIRD",175,2.66,NA,12,1,"",0,1,0,"","","",3483,8,1,"eBird"
"95","URN:CornellLabOfOrnithology:EBIRD:OBS830174810","2019-11-21 08:26:26",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","6","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"BR-RN-Fernando de Noronha (-3,8661,-32,4475)","L10179717","P",-3.866055,-32.447465,"2019-11-21","08:29:00","obsr640234","S61622667","Traveling","P22","EBIRD",180,3.19,NA,12,1,"",0,1,0,"","","",3482,9,1,"eBird"
"96","URN:CornellLabOfOrnithology:EBIRD:OBS830594996","2019-11-22 16:02:59",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","9","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Fernando de Noronha--Praia do Sancho","L8017347","H",-3.8550319,-32.443397,"2019-11-22","14:45:00","obsr640234","S61654995","Traveling","P22","EBIRD",60,2,NA,1,1,"",0,1,0,"","","",3485,8,1,"eBird"
"97","URN:CornellLabOfOrnithology:EBIRD:OBS830174798","2019-11-21 08:26:24",18550,"species","avibase-63999CD3","Noronha Vireo","Vireo gracilirostris","","","","11","","","","","Brazil","BR","Pernambuco","BR-PE",NA,NA,NA,NA,NA,NA,"Capim acu BR-RN-Fernando de Noronha (-3,8660,-32,4474)","L10179716","P",-3.865985,-32.447392,"2019-11-21","08:40:00","obsr1487555","S61622666","Traveling","P22","EBIRD",180,5.134,NA,12,1,"",0,1,0,"","","",3486,9,1,"eBird"
